name,num_voxels,num_occupied_voxels,bitrate,point_to_point_D1
CITIUSP_vox10_nor_i04j04k00,2097152,34281,0.5957819200140019,0.11690020017157564
CITIUSP_vox10_nor_i04j05k00,2097152,35969,0.8509549890183213,0.23744350862777322
CITIUSP_vox10_nor_i04j06k00,2097152,4040,1.6336633663366336,0.4213057148141298
CITIUSP_vox10_nor_i05j00k00,2097152,7956,1.5877325289089994,0.6823008109689825
CITIUSP_vox10_nor_i05j01k00,2097152,36942,0.6572464945048996,0.2384548752097883
CITIUSP_vox10_nor_i05j02k00,2097152,27671,0.5973040367171407,0.13421994145495283
CITIUSP_vox10_nor_i05j03k00,2097152,39441,0.6612408407494739,0.19634790965881788
CITIUSP_vox10_nor_i05j04k00,2097152,52046,0.7122929716020443,0.25683441645630806
CITIUSP_vox10_nor_i05j05k00,2097152,3601,1.7417384059983338,0.3562888570062171
CITIUSP_vox10_nor_i06j00k00,2097152,1906,2.535152151101784,0.7221200980392157
CITIUSP_vox10_nor_i06j01k00,2097152,9581,1.1898549211982048,0.47180497414429945
CITIUSP_vox10_nor_i06j02k00,2097152,21111,0.8412675856188717,0.28483727188630054
CITIUSP_vox10_nor_i06j03k00,2097152,31501,0.8360369512078981,0.3188963303260087
CITIUSP_vox10_nor_i06j04k00,2097152,13072,0.8990208078335373,0.31423705722070844
CITIUSP_vox10_nor_i06j05k00,2097152,133,13.413533834586467,0.36419753086419754
CITIUSP_vox10_nor_i07j00k00,2097152,7,240.0,2.6052631578947367
CITIUSP_vox10_nor_i07j01k00,2097152,4,412.0,1.6
CITIUSP_vox10_nor_i07j02k00,2097152,6426,1.3706816059757236,0.45958624007697857
CITIUSP_vox10_nor_i07j03k00,2097152,9966,1.2329921733895244,0.45648771325716075
CITIUSP_vox10_nor_i07j04k00,2097152,827,3.3857315598548974,0.5621805792163543
CITIUSP_vox10_nor_i07j05k00,2097152,1399,2.1100786275911365,0.44894466628636626
fruits_vox10_nor_i00j01k01,2097152,1182,2.0710659898477157,0.5233380480905233
fruits_vox10_nor_i00j01k02,2097152,5749,1.0561836841189771,0.5357453470168725
fruits_vox10_nor_i00j01k03,2097152,5234,1.1601069927397785,0.5404589371980676
